endpoint_or_pdu,transport,role,axis,current_state,test_file,gap,severity,action
GET /api/v1/sms/status/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/sms/status/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/sms/status/{id},HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/sms/status/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/sms/status/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/sms/status/{id},HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/sms/history,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/sms/scheduled,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
DELETE /api/v1/sms/{id},HTTP,client,A1,UNKNOWN,,,, 
DELETE /api/v1/sms/{id},HTTP,client,A2,UNKNOWN,,,, 
DELETE /api/v1/sms/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
DELETE /api/v1/sms/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
DELETE /api/v1/sms/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
DELETE /api/v1/sms/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/account/balance,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/account/stats,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,client,A1,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,client,A2,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,client,A3,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,client,C-dlr-routing,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,subaccount_child,A1,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,subaccount_child,A2,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,subaccount_child,A3,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,subaccount_child,C-dlr-routing,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,subaccount_parent,A3,UNKNOWN,,,, 
POST /api/v1/webhooks,HTTP,subaccount_parent,C-dlr-routing,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/webhooks,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/webhooks/{id},HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
PUT /api/v1/webhooks/{id},HTTP,client,A1,UNKNOWN,,,, 
PUT /api/v1/webhooks/{id},HTTP,client,A2,UNKNOWN,,,, 
PUT /api/v1/webhooks/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
PUT /api/v1/webhooks/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
PUT /api/v1/webhooks/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
PUT /api/v1/webhooks/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
DELETE /api/v1/webhooks/{id},HTTP,client,A1,UNKNOWN,,,, 
DELETE /api/v1/webhooks/{id},HTTP,client,A2,UNKNOWN,,,, 
DELETE /api/v1/webhooks/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
DELETE /api/v1/webhooks/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
DELETE /api/v1/webhooks/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
DELETE /api/v1/webhooks/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,client,A1,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,client,A2,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,client,A3,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,client,C-billing,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,subaccount_child,A1,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,subaccount_child,A2,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,subaccount_child,A3,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,subaccount_child,C-billing,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,subaccount_parent,A3,UNKNOWN,,,, 
POST /api/v1/lookup,HTTP,subaccount_parent,C-billing,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,client,A1,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,client,A2,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,client,A3,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,client,C-billing,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,subaccount_child,A1,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,subaccount_child,A2,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,subaccount_child,A3,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,subaccount_child,C-billing,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,subaccount_parent,A3,UNKNOWN,,,, 
POST /api/v1/lookup/bulk,HTTP,subaccount_parent,C-billing,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/lookup/history,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,client,A1,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,client,A2,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,client,A3,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,subaccount_child,A1,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,subaccount_child,A2,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,subaccount_child,A3,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
POST /api/v1/templates,HTTP,subaccount_parent,A3,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/templates,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/templates/{id},HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
PUT /api/v1/templates/{id},HTTP,client,A1,UNKNOWN,,,, 
PUT /api/v1/templates/{id},HTTP,client,A2,UNKNOWN,,,, 
PUT /api/v1/templates/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
PUT /api/v1/templates/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
PUT /api/v1/templates/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
PUT /api/v1/templates/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
DELETE /api/v1/templates/{id},HTTP,client,A1,UNKNOWN,,,, 
DELETE /api/v1/templates/{id},HTTP,client,A2,UNKNOWN,,,, 
DELETE /api/v1/templates/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
DELETE /api/v1/templates/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
DELETE /api/v1/templates/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
DELETE /api/v1/templates/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/templates/{id}/audit,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,client,A1,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,client,A2,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,client,A3,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,client,C-billing,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,subaccount_child,A1,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,subaccount_child,A2,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,subaccount_child,A3,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,subaccount_child,C-billing,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,subaccount_parent,A3,UNKNOWN,,,, 
POST /api/v1/cascade/deliveries,HTTP,subaccount_parent,C-billing,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/cascade/deliveries/{id},HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,client,C-visibility,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,subaccount_child,A1,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,subaccount_child,A2,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,subaccount_child,C-visibility,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
GET /api/v1/cascade/stats,HTTP,subaccount_parent,C-visibility,UNKNOWN,,,, 
bind_receiver,SMPP,client,A2,UNKNOWN,,,, 
bind_receiver,SMPP,client,A6,UNKNOWN,,,, 
bind_receiver,SMPP,subaccount_child,A2,UNKNOWN,,,, 
bind_receiver,SMPP,subaccount_child,A6,UNKNOWN,,,, 
bind_receiver,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
bind_receiver,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
bind_transmitter,SMPP,client,A2,UNKNOWN,,,, 
bind_transmitter,SMPP,client,A6,UNKNOWN,,,, 
bind_transmitter,SMPP,subaccount_child,A2,UNKNOWN,,,, 
bind_transmitter,SMPP,subaccount_child,A6,UNKNOWN,,,, 
bind_transmitter,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
bind_transmitter,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
bind_transceiver,SMPP,client,A2,UNKNOWN,,,, 
bind_transceiver,SMPP,client,A6,UNKNOWN,,,, 
bind_transceiver,SMPP,subaccount_child,A2,UNKNOWN,,,, 
bind_transceiver,SMPP,subaccount_child,A6,UNKNOWN,,,, 
bind_transceiver,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
bind_transceiver,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
unbind,SMPP,client,A2,UNKNOWN,,,, 
unbind,SMPP,client,A6,UNKNOWN,,,, 
unbind,SMPP,subaccount_child,A2,UNKNOWN,,,, 
unbind,SMPP,subaccount_child,A6,UNKNOWN,,,, 
unbind,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
unbind,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
submit_sm,SMPP,client,A2,UNKNOWN,,,, 
submit_sm,SMPP,client,A6,UNKNOWN,,,, 
submit_sm,SMPP,client,A3,UNKNOWN,,,, 
submit_sm,SMPP,client,C-billing,UNKNOWN,,,, 
submit_sm,SMPP,client,C-dlr-routing,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_child,A2,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_child,A6,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_child,A3,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_child,C-billing,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_child,C-dlr-routing,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_parent,A3,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_parent,C-billing,UNKNOWN,,,, 
submit_sm,SMPP,subaccount_parent,C-dlr-routing,UNKNOWN,,,, 
deliver_sm (MO),SMPP,client,A2,UNKNOWN,,,, 
deliver_sm (MO),SMPP,client,A6,UNKNOWN,,,, 
deliver_sm (MO),SMPP,subaccount_child,A2,UNKNOWN,,,, 
deliver_sm (MO),SMPP,subaccount_child,A6,UNKNOWN,,,, 
deliver_sm (MO),SMPP,subaccount_parent,A2,UNKNOWN,,,, 
deliver_sm (MO),SMPP,subaccount_parent,A6,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,client,A2,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,client,A6,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,client,C-dlr-routing,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,subaccount_child,A2,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,subaccount_child,A6,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,subaccount_child,C-dlr-routing,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,subaccount_parent,A2,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,subaccount_parent,A6,UNKNOWN,,,, 
deliver_sm (DLR),SMPP,subaccount_parent,C-dlr-routing,UNKNOWN,,,, 
enquire_link,SMPP,client,A2,UNKNOWN,,,, 
enquire_link,SMPP,client,A6,UNKNOWN,,,, 
enquire_link,SMPP,subaccount_child,A2,UNKNOWN,,,, 
enquire_link,SMPP,subaccount_child,A6,UNKNOWN,,,, 
enquire_link,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
enquire_link,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
query_sm,SMPP,client,A2,UNKNOWN,,,, 
query_sm,SMPP,client,A6,UNKNOWN,,,, 
query_sm,SMPP,client,C-visibility,UNKNOWN,,,, 
query_sm,SMPP,subaccount_child,A2,UNKNOWN,,,, 
query_sm,SMPP,subaccount_child,A6,UNKNOWN,,,, 
query_sm,SMPP,subaccount_child,C-visibility,UNKNOWN,,,, 
query_sm,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
query_sm,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
query_sm,SMPP,subaccount_parent,C-visibility,UNKNOWN,,,, 
cancel_sm,SMPP,client,A2,UNKNOWN,,,, 
cancel_sm,SMPP,client,A6,UNKNOWN,,,, 
cancel_sm,SMPP,subaccount_child,A2,UNKNOWN,,,, 
cancel_sm,SMPP,subaccount_child,A6,UNKNOWN,,,, 
cancel_sm,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
cancel_sm,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
replace_sm,SMPP,client,A2,UNKNOWN,,,, 
replace_sm,SMPP,client,A6,UNKNOWN,,,, 
replace_sm,SMPP,subaccount_child,A2,UNKNOWN,,,, 
replace_sm,SMPP,subaccount_child,A6,UNKNOWN,,,, 
replace_sm,SMPP,subaccount_parent,A2,UNKNOWN,,,, 
replace_sm,SMPP,subaccount_parent,A6,UNKNOWN,,,, 
